,across,within,Subject,R,Sample rate,Samples,Thresholded Electrodes,Sessions,Number thresholded,Total Time (hrs),Average Session Length (hrs),Total Electrodes,Proportion Thresholded
0,0.8450012702361269,0.6403878242593426,31,[-63.64 -21.93   5.37],1024.0,14192640,10,7.0,42,3.85,0.55,52,0.808
1,0.8613878377607721,0.6402993858936801,8,[-48.48  38.4   17.26],256.0,1586419,121,2.0,2,1.721,0.86,123,0.016
2,0.6653729732092551,0.519871762699893,13,[ 49.49 -34.7   35.17],256.0,2512896,44,4.0,79,2.727,0.682,123,0.642
3,0.6406774245142768,0.4456603485680024,52,[ 65.66 -67.29  25.83],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
4,0.7643657225864012,0.5043106312466206,25,[-36.36  -1.81  59.76],256.0,458496,98,1.0,2,0.498,0.498,100,0.02
5,0.32924761164333044,0.5058315860653483,38,[-67.68  -2.73  -8.5 ],256.0,1305603,68,3.0,14,1.417,0.472,82,0.171
6,0.5314454324741255,0.20115721304458714,49,[ 29.29 -12.3  -25.74],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
7,0.5897151103456633,0.15815652026740387,18,[-49.49  34.96 -20.63],256.0,1322752,77,2.0,7,1.435,0.718,84,0.083
8,0.7999869604977984,0.4725935639258965,21,[ 44.44 -19.36  59.92],512.0,527360,58,1.0,27,0.286,0.286,85,0.318
9,0.44038378221357305,0.4048223220688432,31,[-65.66 -33.98  -1.79],1024.0,14192640,10,7.0,42,3.85,0.55,52,0.808
10,0.50102507193841,0.0067180394920882975,17,[-14.14   2.16  63.23],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
11,0.3144724465162799,0.4573536049682361,8,[-52.53  17.97  12.92],256.0,1586419,121,2.0,2,1.721,0.86,123,0.016
12,0.8101032151431578,0.042983532386497,45,[-19.19  70.73 -12.6 ],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
13,0.7601889993962545,0.7152202603101753,11,[-39.39 -11.17 -51.9 ],256.0,1708544,83,3.0,3,1.854,0.618,86,0.035
14,0.3439947239478778,0.6202392531150326,58,[ 22.22 -21.93 -17.95],1000.0,15728000,64,5.0,36,4.369,0.874,100,0.36
15,0.3994490029841993,0.4349109544079092,36,[-67.68 -16.42  19.81],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
16,0.16173719240474588,0.15143440886040244,59,[ 48.48 -21.72 -22.71],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
17,0.3551022780008106,-0.5382881656945048,10,[-35.35 -23.16 -37.1 ],256.0,1336064,68,1.0,4,1.45,1.45,72,0.056
18,0.3204371869923193,0.8680308387669894,8,[-24.24  -0.41 -38.16],256.0,1586419,121,2.0,2,1.721,0.86,123,0.016
19,0.5813576881875815,0.2591535698036486,38,[-27.27  10.2  -44.7 ],256.0,1305603,68,3.0,14,1.417,0.472,82,0.171
20,0.2496360552025741,0.5767503529937286,66,[ 65.66 -37.84  14.33],512.0,3409920,68,2.0,12,1.85,0.925,80,0.15
21,0.4321845707420651,0.20618852300656448,6,[38.38 -3.4  49.88],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
22,0.07380401519754164,0.5339079969083675,66,[ 66.67 -33.26   4.77],512.0,3409920,68,2.0,12,1.85,0.925,80,0.15
23,0.7788581878957921,0.5820488381982316,29,[ 68.69 -14.37  41.68],1024.0,4177920,79,2.0,15,1.133,0.566,94,0.16
24,0.3435781069163508,0.007359296400285741,6,[31.31 34.39 -7.55],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
25,0.3806218901806759,0.4169391325831484,18,[-64.65 -19.41  17.48],256.0,1322752,77,2.0,7,1.435,0.718,84,0.083
26,0.2013801401134537,0.2840509547020157,55,[50.51 33.41 13.73],1000.0,14711000,102,4.0,18,4.086,1.022,120,0.15
27,0.5906206520661387,0.14742387117343278,36,[-53.54  27.34 -11.53],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
28,0.4014804827331099,0.14041507363940106,14,[-40.4  -24.25  54.22],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
29,0.2835595567716696,-0.030423910592633024,29,[ 63.64 -73.62   7.  ],1024.0,4177920,79,2.0,15,1.133,0.566,94,0.16
30,0.8915829107421117,0.6730054064370657,22,[-63.64 -34.13  23.23],256.0,450047,40,2.0,16,0.488,0.244,56,0.286
31,0.05146864406352312,-0.13047921053691933,42,[-56.57 -20.75 -21.46],400.0,1032800,53,1.0,3,0.717,0.717,56,0.054
32,0.27517212980255645,0.062337398697273776,5,[ 58.59  -4.17 -22.89],256.0,861349,95,1.0,9,0.935,0.935,104,0.087
33,0.044935105918573096,0.7591391366021982,57,[ 51.52  50.04 -11.41],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
34,0.7336142044006019,0.6491997728574055,4,[-16.16 -14.46 -23.48],256.0,2486697,60,3.0,4,2.698,0.899,64,0.062
35,0.7032063004918256,0.5185019735595534,59,[39.39 11.84 55.04],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
36,0.7906325399085824,0.2034775060254355,10,[-17.17  14.93 -34.89],256.0,1336064,68,1.0,4,1.45,1.45,72,0.056
37,0.2010865217098297,0.19124722622846813,49,[-13.13  45.04  51.35],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
38,0.4309025977536925,0.16407919416509378,7,[-62.63 -54.83   2.55],256.0,2722843,54,4.0,10,2.954,0.738,64,0.156
39,0.052086469228446376,0.7435938110696609,63,[ 56.57   4.99 -19.97],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
40,0.3064292022851503,-0.22693194005607506,45,[-61.62  11.02 -16.05],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
41,0.09233426831150372,0.2139507579819454,58,[-65.66 -19.56 -24.97],1000.0,15728000,64,5.0,36,4.369,0.874,100,0.36
42,0.3865594554990349,-0.4085892380793441,17,[-43.43  47.46   0.36],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
43,0.531508216284035,0.3087613589778355,26,[-33.33 -18.12 -34.42],512.0,3686400,30,2.0,11,2.0,1.0,41,0.268
44,0.6371856924573204,0.3781422986670801,59,[ 65.66 -46.74 -17.  ],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
45,0.6333733682305807,0.6083858193056363,58,[ 23.23 -53.9  -18.61],1000.0,15728000,64,5.0,36,4.369,0.874,100,0.36
46,0.006973028318572261,0.8054199336536586,66,[ 50.51 -14.77 -16.35],512.0,3409920,68,2.0,12,1.85,0.925,80,0.15
47,0.4713991902880161,0.7675531969244883,34,[ 23.23 -22.03 -15.58],1024.0,4300800,45,2.0,11,1.167,0.584,56,0.196
48,0.6496888616556747,0.34322548117007845,64,[57.58 23.73 21.93],400.0,6599200,38,3.0,10,4.583,1.528,48,0.208
49,0.14054238910186173,0.8650875752225382,52,[ 52.53 -11.32 -24.49],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
50,0.1011290562405127,-0.03940680728923723,56,[ 62.63 -74.13  17.85],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
51,0.2635711571928005,0.0894006503564288,29,[ 69.7   -6.33 -20.63],1024.0,4177920,79,2.0,15,1.133,0.566,94,0.16
52,0.5866796431673554,0.5344097150396188,47,[-66.67 -19.1   10.96],400.0,4115600,107,3.0,15,2.858,0.953,122,0.123
53,0.4509327444493584,0.06773379979900145,56,[-21.21 -36.09 -24.73],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
54,0.4678921920065576,0.3519944091332427,13,[ 7.07 41.08  4.34],256.0,2512896,44,4.0,79,2.727,0.682,123,0.642
55,0.9473032415501886,0.8695645263028157,47,[-46.46 -15.65 -19.98],400.0,4115600,107,3.0,15,2.858,0.953,122,0.123
56,0.3747191512155802,-0.10576089887358774,45,[-69.7  -25.17 -14.57],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
57,0.4593806344405557,0.8101426305284665,8,[-31.31   1.7  -39.23],256.0,1586419,121,2.0,2,1.721,0.86,123,0.016
58,0.3482211793117197,0.2644090456968089,54,[ 63.64 -15.6  -21.16],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
59,0.40554235872052574,0.1967904545921879,59,[37.37 38.61 34.69],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
60,0.5427737921093586,0.049597862188132925,51,[-49.49 -24.97 -19.32],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
61,0.5833649230376796,0.5010998440871521,9,[44.44 57.4   8.47],256.0,2132722,80,4.0,24,2.314,0.578,104,0.231
62,0.6402876748888924,0.5651004415757213,59,[ 63.64 -55.39  36.25],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
63,0.20775220100832967,0.10662683787074624,56,[ 22.22 -12.46 -22.17],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
64,0.556127119339674,0.21968280820753,49,[-38.38 -25.02 -18.13],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
65,0.6622921185970052,0.06330978770797567,20,[ 16.16 -79.95   9.93],256.0,921600,69,1.0,29,1.0,1.0,98,0.296
66,0.6472694891507986,0.4329936476859871,15,[ 58.59 -18.69  45.81],256.0,1582848,91,3.0,3,1.718,0.573,94,0.032
67,0.32627916407014235,0.08573626966052647,16,[ 16.16 -50.15  77.88],256.0,1010176,118,2.0,7,1.096,0.548,125,0.056
68,0.29903721528021354,0.5263323772932268,57,[ 70.71 -27.8  -25.45],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
69,0.17813213938854566,0.007768035144315873,56,[ 11.11 -10.4  -22.06],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
70,0.4604238178169741,0.09409299981397086,14,[55.56 24.09 -8.14],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
71,0.6289439635837648,0.035887751808544366,45,[-24.24  59.3  -10.87],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
72,0.4315314576616032,0.18099097129907785,49,[-10.1   75.62  -6.36],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
73,0.35135842061645833,0.4963335916667079,29,[ 58.59 -24.51  59.65],1024.0,4177920,79,2.0,15,1.133,0.566,94,0.16
74,0.272532094586026,0.20018088996278213,65,[ 64.65 -35.11 -23.48],512.0,8110080,7,5.0,51,4.4,0.88,58,0.879
75,0.6119543625526502,0.1232769483099278,36,[-50.51 -15.6  -45.  ],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
76,0.5634409749628361,0.2009336931556279,53,[ 63.64 -13.18  38.48],1000.0,4104000,78,1.0,12,1.14,1.14,90,0.133
