,Correlation,Subject,R
0,0.7596154807183518,R1032D_RAM_CatFR1_0,[-30.63  18.14  19.69]
1,0.7596154807183518,R1032D_RAM_CatFR1_0,[-68.4   -7.51  27.9 ]
2,0.7596154807183518,R1032D_RAM_CatFR1_0,[-68.12   2.17  -4.06]
3,0.7596154807183518,R1032D_RAM_CatFR1_0,[-32.97 -35.26   4.42]
4,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 25.29 -47.52  23.97]
5,0.7596154807183518,R1032D_RAM_CatFR1_0,[-10.12  41.55  23.09]
6,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 24.4  -33.75   0.88]
7,0.7596154807183518,R1032D_RAM_CatFR1_0,[-12.77  19.09  75.4 ]
8,0.7596154807183518,R1032D_RAM_CatFR1_0,[23.41  2.41 -6.51]
9,0.7596154807183518,R1032D_RAM_CatFR1_0,[-10.27  33.48  42.27]
10,0.7596154807183518,R1032D_RAM_CatFR1_0,[-39.13 -63.22   6.45]
11,0.7596154807183518,R1032D_RAM_CatFR1_0,[-21.39  18.21  -1.69]
12,0.7596154807183518,R1032D_RAM_CatFR1_0,[44.75 -9.04 72.03]
13,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 65.36 -26.49  18.71]
14,0.7596154807183518,R1032D_RAM_CatFR1_0,[37.34 16.86  9.63]
15,0.7596154807183518,R1032D_RAM_CatFR1_0,[35.47 11.43 10.55]
16,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 23.09 -68.82  10.49]
17,0.7596154807183518,R1032D_RAM_CatFR1_0,[20.12 30.99 32.64]
18,0.7596154807183518,R1032D_RAM_CatFR1_0,[-9.22 43.92 18.07]
19,0.7596154807183518,R1032D_RAM_CatFR1_0,[23.94 15.85 68.07]
20,0.7596154807183518,R1032D_RAM_CatFR1_0,[-52.44  24.4   43.61]
21,0.7596154807183518,R1032D_RAM_CatFR1_0,[-69.62  -7.7   15.87]
22,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 53.59  13.25 -10.96]
23,0.7596154807183518,R1032D_RAM_CatFR1_0,[-71.92 -11.61  24.9 ]
24,0.7596154807183518,R1032D_RAM_CatFR1_0,[-62.46   7.29 -11.31]
25,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 68.3  -25.84  17.29]
26,0.7596154807183518,R1032D_RAM_CatFR1_0,[-12.3   21.46  70.42]
27,0.7596154807183518,R1032D_RAM_CatFR1_0,[21.26 24.9  46.47]
28,0.7596154807183518,R1032D_RAM_CatFR1_0,[-9.69 39.5  28.25]
29,0.7596154807183518,R1032D_RAM_CatFR1_0,[-31.75 -26.54   4.46]
30,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 59.75 -21.77  34.94]
31,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 57.8  -18.41  44.63]
32,0.7596154807183518,R1032D_RAM_CatFR1_0,[-29.47   5.52  23.14]
33,0.7596154807183518,R1032D_RAM_CatFR1_0,[-38.79  51.43  47.05]
34,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 24.61 -24.92  -0.6 ]
35,0.7596154807183518,R1032D_RAM_CatFR1_0,[24.54 13.72 74.86]
36,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 61.97 -19.51  12.63]
37,0.7596154807183518,R1032D_RAM_CatFR1_0,[-11.57  27.97  53.35]
38,0.7596154807183518,R1032D_RAM_CatFR1_0,[19.73 33.4  27.76]
39,0.7596154807183518,R1032D_RAM_CatFR1_0,[-54.86  15.87  40.38]
40,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 48.68  20.58 -15.31]
41,0.7596154807183518,R1032D_RAM_CatFR1_0,[ 50.83 -11.93  64.09]
